,Unnamed: 0,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank,Host Country,Is Home Host?,Is Away Host?,Rank Change Away,Rank Change Home,Home UEFA,Home CONMEBOL,Home CAF,Home AFC,Home CONCACAF,Home OFC,Away UEFA,Away CONMEBOL,Away CAF,Away AFC,Away CONCACAF,Away OFC
168,168,2002-06-17,BRA,BEL,Home,2,23,JPN KOR,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0
169,169,2002-06-17,MEX,USA,Away,7,13,JPN KOR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
170,170,2002-06-18,JPN,TUR,Away,32,22,JPN KOR,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0
171,171,2002-06-18,KOR,ITA,Home,40,6,JPN KOR,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
172,172,2002-06-21,ENG,BRA,Away,12,2,JPN KOR,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0
173,173,2002-06-21,GER,USA,Home,11,13,JPN KOR,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
174,174,2002-06-22,SEN,TUR,Away,42,22,JPN KOR,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0
175,175,2002-06-22,ESP,KOR,tie,8,40,JPN KOR,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
176,176,2002-06-25,GER,KOR,Home,11,40,JPN KOR,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
177,177,2002-06-26,BRA,TUR,Home,2,22,JPN KOR,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0
178,178,2002-06-29,KOR,TUR,Away,40,22,JPN KOR,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0
179,179,2002-06-30,GER,BRA,Away,11,2,JPN KOR,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
180,180,2006-06-09,GER,CRC,Home,19,26,GER,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
181,181,2006-06-09,POL,ECU,Away,29,39,GER,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0
182,182,2006-06-10,ENG,PAR,Home,10,33,GER,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
183,183,2006-06-10,TRI,SWE,tie,47,16,GER,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
184,184,2006-06-10,ARG,CIV,Home,9,32,GER,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0
185,185,2006-06-11,SCG,NED,Away,44,3,GER,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
186,186,2006-06-11,MEX,IRN,Home,4,23,GER,0,0,-1,2,0,0,0,0,1,0,0,0,0,1,0,0
187,187,2006-06-11,ANG,POR,Away,57,7,GER,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
188,188,2006-06-12,AUS,JPN,Home,42,18,GER,0,0,-1,2,0,0,0,1,0,0,0,0,0,1,0,0
189,189,2006-06-12,USA,CZE,Away,5,2,GER,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0
190,190,2006-06-12,ITA,GHA,Home,13,48,GER,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0
191,191,2006-06-13,KOR,TOG,Home,29,61,GER,0,0,-2,1,0,0,0,1,0,0,0,0,1,0,0,0
192,192,2006-06-13,FRA,SUI,tie,8,35,GER,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0
193,193,2006-06-13,BRA,CRO,Home,1,23,GER,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
194,194,2006-06-14,ESP,UKR,Home,5,45,GER,0,0,-4,0,1,0,0,0,0,0,1,0,0,0,0,0
195,195,2006-06-14,TUN,KSA,tie,21,34,GER,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
196,196,2006-06-14,GER,POL,Home,19,29,GER,1,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,0
197,197,2006-06-15,ECU,CRC,Home,39,26,GER,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
198,198,2006-06-15,ENG,TRI,Home,10,47,GER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
199,199,2006-06-15,SWE,PAR,Home,16,33,GER,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
200,200,2006-06-16,ARG,SCG,Home,9,44,GER,0,0,2,-1,0,1,0,0,0,0,1,0,0,0,0,0
201,201,2006-06-16,NED,CIV,Home,3,32,GER,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
202,202,2006-06-16,MEX,ANG,tie,4,57,GER,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0
203,203,2006-06-17,POR,IRN,Home,7,23,GER,0,0,-1,1,1,0,0,0,0,0,0,0,0,1,0,0
204,204,2006-06-17,CZE,GHA,Away,2,48,GER,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
205,205,2006-06-17,ITA,USA,tie,13,5,GER,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,1,0
